STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns
5,AR,71766,0,280
5,AR,71770,0,1200
5,AR,71801,0,5780
5,AR,71822,0,3380
5,AR,71825,0,240
5,AR,71826,0,420
5,AR,71827,0,300
5,AR,71832,0,3810
5,AR,71833,0,830
5,AR,71834,0,460
5,AR,71835,0,490
5,AR,71836,0,1100
5,AR,71837,0,1880
5,AR,71838,0,400
5,AR,71841,0,310
5,AR,71842,0,850
5,AR,71845,0,810
5,AR,71846,0,990
5,AR,71847,0,250
5,AR,71851,0,880
5,AR,71852,0,4000
5,AR,71853,0,180
5,AR,71854,0,14720
5,AR,71855,0,270
5,AR,71857,0,2340
5,AR,71858,0,590
5,AR,71859,0,140
5,AR,71860,0,940
5,AR,71861,0,820
5,AR,71862,0,280
5,AR,71866,0,250
5,AR,71901,0,11640
5,AR,71909,0,8120
5,AR,71913,0,19480
5,AR,71921,0,1140
5,AR,71923,0,5800
5,AR,71929,0,1840
5,AR,71933,0,520
5,AR,71935,0,240
5,AR,71937,0,670
5,AR,71940,0,560
5,AR,71941,0,730
5,AR,71943,0,1660
5,AR,71944,0,240
5,AR,71945,0,490
5,AR,71949,0,720
5,AR,71950,0,330
5,AR,71953,0,5540
5,AR,71956,0,730
5,AR,71957,0,1230
5,AR,71958,0,950
5,AR,71959,0,260
5,AR,71960,0,460
5,AR,71961,0,330
5,AR,71962,0,290
5,AR,71964,0,1570
5,AR,71965,0,130
5,AR,71968,0,1850
5,AR,71969,0,110
5,AR,71970,0,230
5,AR,71971,0,150
5,AR,71972,0,140
5,AR,71973,0,500
5,AR,72001,0,180
5,AR,72002,0,6720
5,AR,72003,0,320
5,AR,72004,0,490
5,AR,72006,0,970
5,AR,72007,0,3240
5,AR,72010,0,2360
5,AR,72011,0,1830
5,AR,72012,0,5100
5,AR,72013,0,790
5,AR,72015,0,11150
5,AR,72016,0,1220
5,AR,72017,0,260
5,AR,72019,0,10370
5,AR,72020,0,1430
5,AR,72021,0,1690
5,AR,72022,0,7120
5,AR,72023,0,14750
5,AR,72024,0,1470
5,AR,72025,0,300
5,AR,72026,0,130
5,AR,72027,0,530
5,AR,72029,0,750
5,AR,72030,0,260
5,AR,72031,0,2870
5,AR,72032,0,13150
5,AR,72034,0,18820
5,AR,72036,0,310
5,AR,72039,0,860
5,AR,72040,0,1040
5,AR,72041,0,560
5,AR,72042,0,2090
